Symbol,BTC,ETH,USDT,BNB
WAVESETH,,WAVESETH,,
WAVESBNB,,,,WAVESBNB
GTOBTC,GTOBTC,,,
GTOETH,,GTOETH,,
GTOBNB,,,,GTOBNB
ICXBTC,ICXBTC,,,
ICXETH,,ICXETH,,
ICXBNB,,,,ICXBNB
OSTBTC,OSTBTC,,,
OSTETH,,OSTETH,,
OSTBNB,,,,OSTBNB
ELFBTC,ELFBTC,,,
ELFETH,,ELFETH,,
AIONBTC,AIONBTC,,,
AIONETH,,AIONETH,,
AIONBNB,,,,AIONBNB
NEBLBTC,NEBLBTC,,,
NEBLETH,,NEBLETH,,
NEBLBNB,,,,NEBLBNB
BRDBTC,BRDBTC,,,
BRDETH,,BRDETH,,
BRDBNB,,,,BRDBNB
MCOBNB,,,,MCOBNB
EDOBTC,EDOBTC,,,
EDOETH,,EDOETH,,
WINGSBTC,WINGSBTC,,,
WINGSETH,,WINGSETH,,
NAVBTC,NAVBTC,,,
NAVETH,,NAVETH,,
NAVBNB,,,,NAVBNB
LUNBTC,LUNBTC,,,
LUNETH,,LUNETH,,
TRIGBTC,TRIGBTC,,,
TRIGETH,,TRIGETH,,
TRIGBNB,,,,TRIGBNB
APPCBTC,APPCBTC,,,
APPCETH,,APPCETH,,
APPCBNB,,,,APPCBNB
VIBEBTC,VIBEBTC,,,
VIBEETH,,VIBEETH,,
RLCBTC,RLCBTC,,,
RLCETH,,RLCETH,,
RLCBNB,,,,RLCBNB
INSBTC,INSBTC,,,
INSETH,,INSETH,,
PIVXBTC,PIVXBTC,,,
PIVXETH,,PIVXETH,,
PIVXBNB,,,,PIVXBNB
IOSTBTC,IOSTBTC,,,
IOSTETH,,IOSTETH,,
CHATBTC,CHATBTC,,,
CHATETH,,CHATETH,,
STEEMBTC,STEEMBTC,,,
STEEMETH,,STEEMETH,,
STEEMBNB,,,,STEEMBNB
NANOBTC,NANOBTC,,,
NANOETH,,NANOETH,,
NANOBNB,,,,NANOBNB
VIABTC,VIABTC,,,
VIAETH,,VIAETH,,
VIABNB,,,,VIABNB
BLZBTC,BLZBTC,,,
BLZETH,,BLZETH,,
BLZBNB,,,,BLZBNB
AEBTC,AEBTC,,,
AEETH,,AEETH,,
AEBNB,,,,AEBNB
RPXBTC,RPXBTC,,,
RPXETH,,RPXETH,,
RPXBNB,,,,RPXBNB
NCASHBTC,NCASHBTC,,,
NCASHETH,,NCASHETH,,
NCASHBNB,,,,NCASHBNB
POABTC,POABTC,,,
POAETH,,POAETH,,
POABNB,,,,POABNB
ZILBTC,ZILBTC,,,
ZILETH,,ZILETH,,
ZILBNB,,,,ZILBNB
ONTBTC,ONTBTC,,,
ONTETH,,ONTETH,,
ONTBNB,,,,ONTBNB
STORMBTC,STORMBTC,,,
STORMETH,,STORMETH,,
STORMBNB,,,,STORMBNB
QTUMBNB,,,,QTUMBNB
QTUMUSDT,,,QTUMUSDT,
XEMBTC,XEMBTC,,,
XEMETH,,XEMETH,,
XEMBNB,,,,XEMBNB
WANBTC,WANBTC,,,
WANETH,,WANETH,,
WANBNB,,,,WANBNB
WPRBTC,WPRBTC,,,
WPRETH,,WPRETH,,
QLCBTC,QLCBTC,,,
QLCETH,,QLCETH,,
SYSBTC,SYSBTC,,,
SYSETH,,SYSETH,,
SYSBNB,,,,SYSBNB
QLCBNB,,,,QLCBNB
GRSBTC,GRSBTC,,,
GRSETH,,GRSETH,,
ADAUSDT,,,ADAUSDT,
ADABNB,,,,ADABNB
CLOAKBTC,CLOAKBTC,,,
CLOAKETH,,CLOAKETH,,
GNTBTC,GNTBTC,,,
GNTETH,,GNTETH,,
GNTBNB,,,,GNTBNB
LOOMBTC,LOOMBTC,,,
LOOMETH,,LOOMETH,,
LOOMBNB,,,,LOOMBNB
XRPUSDT,,,XRPUSDT,
BCNBTC,BCNBTC,,,
BCNETH,,BCNETH,,
BCNBNB,,,,BCNBNB
REPBTC,REPBTC,,,
REPETH,,REPETH,,
REPBNB,,,,REPBNB
TUSDBTC,TUSDBTC,,,
TUSDETH,,TUSDETH,,
TUSDBNB,,,,TUSDBNB
ZENBTC,ZENBTC,,,
ZENETH,,ZENETH,,
ZENBNB,,,,ZENBNB
SKYBTC,SKYBTC,,,
SKYETH,,SKYETH,,
SKYBNB,,,,SKYBNB
EOSUSDT,,,EOSUSDT,
EOSBNB,,,,EOSBNB
CVCBTC,CVCBTC,,,
CVCETH,,CVCETH,,
CVCBNB,,,,CVCBNB
THETABTC,THETABTC,,,
THETAETH,,THETAETH,,
THETABNB,,,,THETABNB
XRPBNB,,,,XRPBNB
TUSDUSDT,,,TUSDUSDT,
IOTAUSDT,,,IOTAUSDT,
XLMUSDT,,,XLMUSDT,
IOTXBTC,IOTXBTC,,,
IOTXETH,,IOTXETH,,
QKCBTC,QKCBTC,,,
QKCETH,,QKCETH,,
AGIBTC,AGIBTC,,,
AGIETH,,AGIETH,,
AGIBNB,,,,AGIBNB
NXSBTC,NXSBTC,,,
NXSETH,,NXSETH,,
NXSBNB,,,,NXSBNB
ENJBNB,,,,ENJBNB
DATABTC,DATABTC,,,
DATAETH,,DATAETH,,
ONTUSDT,,,ONTUSDT,
TRXUSDT,,,TRXUSDT,
ETCUSDT,,,ETCUSDT,
ETCBNB,,,,ETCBNB
ICXUSDT,,,ICXUSDT,
SCBTC,SCBTC,,,
SCETH,,SCETH,,
SCBNB,,,,SCBNB
NPXSBTC,NPXSBTC,,,
NPXSETH,,NPXSETH,,
VENUSDT,,,VENUSDT,
KEYBTC,KEYBTC,,,
KEYETH,,KEYETH,,
NASBTC,NASBTC,,,
NASETH,,NASETH,,
NASBNB,,,,NASBNB
MFTBTC,MFTBTC,,,
MFTETH,,MFTETH,,
MFTBNB,,,,MFTBNB
DENTBTC,DENTBTC,,,
DENTETH,,DENTETH,,
ARDRBTC,ARDRBTC,,,
ARDRETH,,ARDRETH,,
ARDRBNB,,,,ARDRBNB
NULSUSDT,,,NULSUSDT,
