git id,name,symbol
859,Woodcoin,LOG
869,Crave,CRAVE
870,Pura,PURA
873,NEM,XEM
890,8Bit,8BIT
892,LeaCoin,LEA
894,Neutron,NTRN
895,Xaurum,XAUR
898,Californium,CF
911,Advanced Internet Blocks,AIB
912,EggCoin,EGG
914,Sphere,SPHR
916,MedicCoin,MEDIC
918,Bubble,BUB
920,MUSE,MUSE
921,Universal Currency,UNIT
924,ShellCoin,SHELL
933,Crypto,CTO
934,ParkByte,PKB
938,ARbit,ARB
939,Gambit,GAM
945,Bata,BTA
948,AudioCoin,ADC
951,Synergy,SNRG
954,bitEUR,BITEUR
959,UniCoin,UNIC
960,FujiCoin,FJC
964,EuropeCoin,ERC
965,The Cypherfunks,FUNK
977,Hexx,HXX
978,Ratecoin,XRA
986,CrevaCoin,CREVA
988,IrishCoin,IRL
990,Bitzeny,ZNY
993,BowsCoin,BSC
994,AnarchistsPrime,ACP
998,CompuCoin,CPN
999,ChainCoin,CHC
1002,Sprouts,SPRTS
1004,Helleniccoin,HNC
1008,Capricoin,CPC
1010,Flaxscript,FLAX
1019,Manna,MANNA
1020,Axiom,AXIOM
1022,LEOcoin,LEO
1026,Aeon,AEON
1027,Ethereum,ETH
1028,SJWCoin,SJW
1032,TransferCoin,TX
1033,GuccioneCoin,GCC
1035,AmsterdamCoin,AMS
1038,Eurocoin,EUC
1042,Siacoin,SC
1044,Global Currency Reserve,GCR
1050,Shift,SHIFT
1052,VectorAI,VEC2
1053,Bolivarcoin,BOLI
1058,SpaceCoin,SPACE
1063,Bitcrystals,BCY
1066,Pakcoin,PAK
1069,Influxcoin,INFX
1070,Expanse,EXP
1082,SIBCoin,SIB
1084,IslaCoin,ISL
1085,Swing,SWING
1087,Factom,FCT
1089,ParallelCoin,DUO
1090,Save and Gain,SANDG
1093,Prototanium,PR
1100,DigiCube,CUBE
1104,Augur,REP
1106,StrongHands,SHND
1107,PACcoin,$PAC
1109,Elite,1337
1110,Money,$$$
1111,SOILcoin,SOIL
1113,SecretCoin,SCRT
1120,DraftCoin,DFT
1123,OBITS,OBITS
1125,Synereo,AMP
1135,ClubCoin,CLUB
1136,Adzcoin,ADZ
1141,Moin,MOIN
1146,AvatarCoin,AV
1147,RussiaCoin,RC
1148,EverGreenCoin,EGC
1153,Creditbit,CRB
1154,Radium,RADS
1155,Litecred,LTCR
1156,Yocoin,YOC
1159,SaluS,SLS
1164,Francs,FRN
1165,Evil Coin,EVIL
1168,Decred,DCR
1169,PIVX,PIVX
1172,Safe Exchange Coin,SAFEX
1175,Rubies,RBIES
1176,Asiadigicoin,ADCN
1182,KiloCoin,KLC
1185,TrumpCoin,TRUMP
1191,Memetic / PepeCoin,MEME
1193,C-Bit,XCT
1194,Independent Money System,IMS
1195,HOdlcoin,HODL
1198,BigUp,BIGUP
1200,NevaCoin,NEVA
1206,BumbaCoin,BUMBA
1208,RevolutionVR,RVR
1209,PosEx,PEX
1210,Cabbage,CAB
1212,MojoCoin,MOJO
1213,GoldMaxCoin,GMX
1214,Lisk,LSK
1216,EDRCoin,EDRC
1218,PostCoin,POST
1223,BERNcash,BERN
1226,Qwark,QWARK
1229,DigixDAO,DGD
1230,Steem,STEEM
1234,Fantasy Cash,FANS
1238,Espers,ESP
1241,FuzzBalls,FUZZ
1244,HiCoin,XHI
1247,AquariusCoin,ARCO
1248,Bitcoin 21,XBTC21
1249,Elcoin,EL
1250,Zurcoin,ZUR
1251,SixEleven,611
1252,2GIVE,2GIVE
1254,PlatinumBAR,XPTX
1256,Alphabit,ABC
1257,LanaCoin,LANA
1259,PonziCoin,PONZI
1264,TeslaCoilCoin,TESLA
1266,MarteXcoin,MXT
1268,Nullex,NLX
1269,RichCoin,RICHX
1271,PrismChain,PRM
1274,Waves,WAVES
1276,ICO OpenLedger,ICOO
1279,Powercoin,PWR
1281,ION,ION
1282,High Voltage,HVCO
1283,Mineum,MNM
1284,RevolverCoin,XRE
1285,GoldBlocks,GB
1286,Breakout,BRK
1288,Debitcoin,DBTC
1291,Comet,CMT
1294,Rise,RISE
1297,ChessCoin,CHESS
1298,LBRY Credits,LBC
1299,PutinCoin,PUT
1303,Breakout Stake,BRX
1304,Syndicate,SYNX
1306,Cryptojacks,CJ
1308,HEAT,HEAT
1309,LetItRide,LIR
1312,Steem Dollars,SBD
1320,Ardor,ARDR
1321,Ethereum Classic,ETC
1322,808Coin,808
1323,First Bitcoin,BIT
1334,Elementrem,ELE
1336,UGAIN,GAIN
1340,Karbo,KRB
1341,VapersCoin,VPRC
1343,Stratis,STRAT
1348,President Trump,PRES
1351,Aces,ACES
1352,President Johnson,GARY
1353,TajCoin,TAJ
1358,E-Dinar Coin,EDR
1361,Artex Coin,ATX
1367,Experience Points,XP
1368,Veltor,VLT
1371,B3Coin,KB3
1375,Golfcoin,GOLF
1376,NEO,NEO
1380,LoMoCoin,LMC
1381,Bitcloud,BTDX
1382,NoLimitCoin,NLC2
1387,VeriumReserve,VRM
1389,Zayedcoin,ZYD
1390,Jin Coin,JIN
1391,Tao,XTO
1392,Pluton,PLU
1393,Tellurion,TELL
1395,Dollarcoin,DLC
1396,MustangCoin,MST
1397,Beatcoin,XBTS
1398,PROUD Money,PROUD
1399,Sequence,SEQ
1400,Omicron,OMC
1403,FirstBlood,1ST
1405,Pepe Cash,PEPECASH
1408,Iconomi,ICN
1409,SingularDTV,SNGLS
1414,ZCoin,XZC
1418,Rcoin,RCN
1420,Atomic Coin,ATOM
1421,JobsCoin,JOBS
1423,Triggers,TRIG
1425,Sakuracoin,SKR
1429,Levocoin,LEVO
1434,Advanced Technology Coin,ARC
1435,Cubits,QBT
1436,DynamicCoin,DMC
1437,Zcash,ZEC
1439,AllSafe,ASAFE2
1442,BipCoin,BIP
1447,ZClassic,ZCL
1448,Zoin,ZOI
1449,WA Space,WA
1454,Lykke,LKK
1455,Golem,GNT
1456,ZetaMicron,ZMC
1457,Bitcurrency,BTCR
1459,Regacoin,REGA
1464,Internet of People,IOP
1465,Veros,VRS
1466,Hush,HUSH
1468,Kurrent,KURT
1469,Creatio,XCRE
1472,Rawcoin,XRC
1473,Pascal Coin,PASC
1474,Eternity,ENT
1475,Incent,INCNT
1478,DECENT,DCT
1480,Golos,GOLOS
1481,Nexium,NXC
1483,vSlice,VSL
1485,Dollar Online,DOLLAR
1486,Vault Coin,VLTC
1487,Pabyosi Coin (Special),PCS
1489,T-coin,TCOIN
1492,Byteball Bytes,GBYTE
1495,PoSW Coin,POSW
1496,Luna Coin,LUNA
1497,Fargocoin,FRGC
1500,Wings,WINGS
1501,Dix Asset,DIX
1503,Darcrus,DAR
1504,InflationCoin,IFLT
1505,Spectrecoin,XSPEC
1506,Safe Trade Coin,XSTC
1507,LandCoin,LDCN
1509,BenjiRolls,BENJI
1510,CryptoCarbon,CCRB
1511,PureVidz,VIDZ
1513,BitConnect,BCC
1514,ICOBID,ICOB
1515,iBank,IBANK
1518,Maker,MKR
1520,Digital Rupees,DRS
1521,Komodo,KMD
1522,FirstCoin,FRST
1523,Magnum,MGM
1524,Tattoocoin (Standard Edition),TSE
1525,Solarflarecoin,SFC
1526,Zilbercoin,ZBC
1527,Waves Community Token,WCT
1528,Iconic,ICON
1529,KushCoin,KUSH
1531,Global Cryptocurrency,GCC
1533,Avoncoin,ACN
1534,BOAT,BOAT
1535,Eryllium,ERY
1539,Elysium,ELS
1542,Golos Gold,GBG
1546,Centurion,CNT
1548,Marijuanacoin,MAR
1550,Master Swiscoin,MSCN
1552,Melon,MLN
1554,Allion,ALL
1555,PRCoin,PRC
1556,Chronobank,TIME
1558,Argus,ARGUS
1559,Renos,RNS
1561,UR,UR
1562,Swarm City,SWT
1563,PIECoin,PIE
1565,MarxCoin,MARX
1566,Visio,VISIO
1567,Nano,NANO
1568,LevoPlus,LVPS
1570,GeertCoin,GEERT
1575,Pascal Lite,PASL
1576,MiloCoin,MILO
1577,Musicoin,MUSIC
1578,Zero,ZER
1579,BioBar,BIOB
1581,Honey,HONEY
1582,Netko,NETKO
1586,Ark,ARK
1587,Dynamic,DYN
1588,Tokes,TKS
1590,Mercury,MER
1592,TaaS,TAAS
1595,Soarcoin,SOAR
1596,Edgeless,EDG
1597,Bankcoin,B@
1598,ZSEcoin,ZSE
1602,HealthyWormCoin,WORM
1603,Databits,DTB
1605,Universe,UNI
1606,Solaris,XLR
1607,Impact,IMX
1608,Tristar Coin,TSTR
1609,Asch,XAS
1611,DubaiCoin,DBIX
1614,Darsek,KED
1616,Matchpool,GUP
1617,Ultimate Secure Cash,USC
1618,E-coin,ECN
1619,Skycoin,SKY
1623,BlazerCoin,BLAZR
1624,Atmos,ATMOS
1625,Ethereum Movie Venture,EMV
1626,InPay,INPAY
1628,Happycoin,HPC
1629,Zennies,ZENI
1630,Coinonat,CXT
1631,Internet of Things,XOT
1632,Concoin,CONX
1636,XTRABYTES,XBY
1637,iExec RLC,RLC
1638,WeTrust,TRST
1640,DeusCoin,DEUS
1642,Altcoin,ALT
1643,WavesGo,WGO
1644,MACRON,MCRN
1647,Tattoocoin (Limited Edition),TLE
1650,ProCurrency,PROC
1651,SpeedCash,SCS
1654,Bitcore,BTX
1657,Bitvolt,VOLT
1658,Lunyr,LUN
1659,Gnosis,GNO
1660,TokenCard,TKN
1662,Condensate,RAIN
1665,Gold Pressed Latinum,GPL
1669,Humaniq,HMQ
1670,FUNCoin,FUNC
1671,iTicoin,ITI
1673,Minereum,MNE
1674,Cannation,CNNC
1676,Creativecoin,CREA
1677,Etheroll,DICE
1678,InsaneCoin,INSN
1679,Halloween Coin,HALLO
1680,Aragon,ANT
1681,PRIZM,PZM
1683,RouletteToken,RLT
1684,Qtum,QTUM
1685,EcoCoin,ECO
1686,EquiTrader,EQT
1687,Digital Money Bits,DMB
1688,APX,APX
1690,MCAP,MCAP
1691,Project-X,NANOX
1693,Theresa May Coin,MAY
1694,Sumokoin,SUMO
1695,ZenGold,ZENGOLD
1697,Basic Attention Token,BAT
1698,ZenCash,ZEN
1699,Ethbits,ETBS
1700,Aeternity,AE
1702,Version,V
1703,Metaverse ETP,ETP
1704,eBoost,EBST
1706,Aidos Kuneen,ADK
1707,STEX,STEX
1708,Patientory,PTOY
1709,Quantum,QAU
1710,Veritaseum,VERI
1711,Electra,ECA
1712,Quantum Resistant Ledger,QRL
1714,EncryptoTel [WAVES],ETT
1715,MobileGo,MGO
1716,Ammo Reloaded,AMMO
1717,Neuro,NRO
1719,Peerplays,PPY
1720,IOTA,MIOTA
1721,Mysterium,MYST
1722,More Coin,MORE
1723,SONM,SNM
1724,Linx,LINX
1726,ZrCoin,ZRC
1727,Bancor,BNT
1728,Cheapcoin,CHEAP
1729,Cofound.it,CFI
1731,GlobalToken,GLT
1732,Numeraire,NMR
1733,Octanox,OTX
1736,Unify,UNIFY
1737,Elastic,XEL
1738,Coupecoin,COUPE
1739,Miners' Reward Token,MRT
1741,Bitok,BITOK
1742,Huncoin,HNC
1743,KingN Coin,KNC
1745,Dinastycoin,DCY
1746,Leviar,XLC
1747,Onix,ONX
1748,Bitcoin Planet,BTPL
1750,GXChain,GXS
1752,Goodomy,GOOD
1753,Antimatter,ANTX
1754,Bitradio,BRO
1755,Flash,FLASH
1757,FunFair,FUN
1758,TenX,PAY
1759,Status,SNT
1760,ChanCoin,CHAN
1762,Ergo,EFYT
1763,BriaCoin,BRIA
1765,EOS,EOS
1767,TurboCoin,TURBO
1768,AdEx,ADX
1769,Denarius,DNR
1771,DAO.Casino,BET
1772,Storj,STORJ
1773,BnrtxCoin,BNX
1774,SocialCoin,SOCC
1775,adToken,ADT
1776,MCO,MCO
1777,CryptoPing,PING
1778,Useless Ethereum Token,UET
1779,Wagerr,WGR
1781,Slevin,SLEVIN
1782,Ecobit,ECOB
1783,UniversalRoyalCoin,UNRC
1784,Polybius,PLBT
1785,Gas,GAS
1786,SunContract,SNC
1787,Jetcoin,JET
1788,Metal,MTL
1789,Populous,PPT
